Entity,Deaths - Neoplasms - Sex: Both - Age: 70+ years (Rate),Deaths - Neoplasms - Sex: Both - Age: 50-69 years (Rate),Deaths - Neoplasms - Sex: Both - Age: 15-49 years (Rate),Deaths - Neoplasms - Sex: Both - Age: 5-14 years (Rate),Deaths - Neoplasms - Sex: Both - Age: Under 5 (Rate)
Eritrea,772.9386666666666,345.23100000000005,27.577666666666666,3.5413333333333337,16.226999999999997
Estonia,1223.5363333333335,473.73700000000014,39.403999999999996,5.108666666666666,6.490000000000001
Eswatini,1199.776333333333,475.03700000000003,32.071,3.4643333333333337,3.0079999999999996
Ethiopia,628.2533333333334,235.43266666666665,21.251333333333335,5.172333333333332,29.23366666666667
Europe & Central Asia (WB),1250.9296666666667,415.141,36.12366666666667,4.9413333333333345,6.083333333333334
European Region (WHO),1251.4903333333334,414.6806666666666,36.04933333333334,4.926666666666667,6.053666666666668
Fiji,755.7456666666669,241.66166666666658,30.596666666666668,6.526999999999998,7.913333333333332
Finland,1207.0670000000002,297.85033333333337,24.532333333333337,3.312333333333334,3.6453333333333338
France,1417.5173333333335,413.24833333333333,35.41833333333333,3.059666666666666,3.684333333333333
G20,1158.4876666666667,343.052,31.301666666666677,4.8916666666666675,8.105
Gabon,1064.794666666667,374.15233333333333,26.728666666666662,3.6186666666666656,6.66
Gambia,642.2099999999998,250.01933333333332,19.094333333333335,3.1379999999999995,7.543333333333333
Georgia,734.5013333333334,381.7336666666667,45.67399999999999,6.806999999999999,6.788666666666667
Germany,1431.8033333333335,380.18633333333327,32.19233333333334,3.0486666666666666,3.582666666666666
Ghana,868.6870000000001,263.71366666666665,24.31666666666667,5.7713333333333345,7.869666666666665
Greece,1450.095,356.8623333333333,29.031000000000002,3.7439999999999998,4.028333333333333
Greenland,2093.412333333333,707.0056666666667,55.672666666666665,4.583333333333333,3.509
Grenada,1552.7076666666667,367.59333333333336,35.858666666666664,5.490333333333335,6.554
Guam,860.6646666666669,249.46466666666672,28.360999999999997,3.561333333333333,4.100666666666666
Guatemala,968.1626666666667,256.14566666666667,27.57733333333334,5.312,5.673999999999998
Guinea,1089.0493333333334,361.089,30.04366666666667,4.151333333333334,11.451333333333334
Guinea-Bissau,894.0150000000001,342.2886666666666,26.73033333333333,4.385,10.243333333333334
Guyana,997.3856666666668,297.5280000000001,33.424666666666674,4.684666666666667,4.764999999999998
Haiti,1116.0539999999996,358.5383333333333,35.735,10.303666666666665,22.854333333333333
Honduras,903.5689999999998,265.92166666666657,22.357333333333326,6.2106666666666674,12.930333333333335
Hungary,1520.4263333333336,625.2736666666666,57.73300000000002,4.270999999999999,5.469333333333335
Iceland,1340.6093333333336,310.7993333333333,23.780333333333328,3.2623333333333338,3.231333333333333
India,546.2813333333332,205.11366666666663,21.217666666666663,3.7766666666666655,6.4929999999999986
Indonesia,731.763,246.43899999999994,27.955666666666666,6.005333333333334,8.665999999999999
